model,condition,family,severity,count,auc,accuracy,f1,threshold
hybrid_augmented,clean,clean,none,20000,0.9884091449999999,0.94675,0.9471122808759994,0.5
hybrid_augmented,jpeg_q90,jpeg,q90,20000,0.9883181650000001,0.9468,0.9467787114845938,0.5
hybrid_augmented,jpeg_q70,jpeg,q70,20000,0.9882447849999998,0.9466,0.9470763131813676,0.5
hybrid_augmented,jpeg_q50,jpeg,q50,20000,0.9788033500000001,0.9231,0.9239065901444686,0.5
hybrid_augmented,jpeg_q30,jpeg,q30,20000,0.96332453,0.8971,0.8974486745066773,0.5
hybrid_augmented,blur_sigma0.5,blur,sigma0.5,20000,0.98400732,0.9179,0.9129927935565918,0.5
hybrid_augmented,blur_sigma1.0,blur,sigma1.0,20000,0.953877925,0.88415,0.8816468304643204,0.5
hybrid_augmented,blur_sigma2.0,blur,sigma2.0,20000,0.88665117,0.8046,0.8002249258766997,0.5
hybrid_augmented,resize_scale0.5,resize,scale0.5,20000,0.9485687850000001,0.8771,0.8746430028559772,0.5
hybrid_augmented,resize_scale0.25,resize,scale0.25,20000,0.882708505,0.7991,0.7999203266606911,0.5
hybrid_augmented,noise_sigma0.02,noise,sigma0.02,20000,0.9796053749999999,0.92605,0.9256073638146974,0.5
hybrid_augmented,noise_sigma0.05,noise,sigma0.05,20000,0.96846225,0.9083,0.9077464788732394,0.5
hybrid_augmented,noise_sigma0.10,noise,sigma0.10,20000,0.90745974,0.82485,0.8232860818241436,0.5
hybrid_augmented,jitter_amount0.20,jitter,amount0.20,20000,0.9831548800000001,0.93395,0.9351720076556902,0.5
hybrid_augmented,crop_ratio0.80,crop,ratio0.80,20000,0.9737668450000001,0.9035,0.8976778708514473,0.5
